Card ID,Created By,Space Posted in,Date of Card Posting,Time of Card Posting,Card Type,Card Title,Card Description,Card Body,Total Reach,Number of Views,Number of Likes,Number of Shares(Inside App),Number of Shares(Outside App),Number of Comments,Number of Upvotes on Comments,Number of Saves,Number of Reports,Option A(Poll Cards Only),Option B(Poll Cards Only),Option C(Poll Cards Only),Mission Date,Mission  Time,Mission  Format,Mission Link,Mission Link Clicks,Length of Video (seconds),Watch Time for Video Cards
,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,Koustubh Kulkarni,Space Warrior Fellowship,01-09-2021,15:20:29,vertical,My MoU Story 04: Par for the course,If smooth sailing was ever a distilled series of interactions,"<p>Asian Institute of Design is a college that specializes in courses for game development and animation in particular.</p><p><img src=""https://under25app.s3.amazonaws.com/images/2021-09-01_150831.max-1440x900.jpg"" style=""width: 352.19px;"" data-filename=""""><br><br>As such my faculty members belong to a much younger age group, as a result of which, they have a lot more knowledge of pop culture and the like.</p><blockquote>I had notified the staff about my selection since July itself, and they had quite happily endorsed my endeavours. For me, the MoU was just a formality.</blockquote><p><img src=""https://under25app.s3.amazonaws.com/images/2021-09-01_151015.max-1440x900.jpg"" style=""width: 50%;"" data-filename=""""><img src=""https://under25app.s3.amazonaws.com/images/2021-09-01_151032.max-1440x900.jpg"" style=""width: 50%;"" data-filename=""""><br></p><p><br>We had exams and submissions all through August whilst our campus compound underwent a sleek renovation. In the midst of all that, our faculty was busy communicating with BNU, making sure the logistics of our examinations were secured.</p><p>Once we finally got some time to breathe freely, I swiftly took the MoU to my Student coordinator's office where we exchanged some quick pleasantries and casually discussed some ongoing topics.</p><p></p><blockquote> Soon enough, once I was sure about the specifics on what details to include, it was quickly signed and we took a nice, casual picture.</blockquote><img src=""https://under25app.s3.amazonaws.com/images/2021-09-01_151151.max-1440x900.jpg"" style=""width: 352.19px;"" data-filename=""""><br><p></p><p></p><blockquote><i>It was a smooth, cordial, and friendly experience wherein I felt glad I chose this college.</i></blockquote><p></p><p></p><p><b>He commended me on taking the initiative for this college and was quite enthused about how fun the collaborations were done by Under 25.</b></p><p><img src=""https://under25app.s3.amazonaws.com/images/2021-09-01_151438.max-1440x900.png"" style=""width: 352.19px;"" data-filename=""""><br></p><p></p><blockquote><i><b>He also lauded the fact that I was representing Under 25 for this college to the other faculties present there.</b></i></blockquote><p></p><p></p><p>Before leaving,&nbsp;<b><i>he assured me</i></b>&nbsp;the college would help with whatever was needed to make this work. It was a solid experience and I felt jubilant all the way through.</p><p></p><blockquote><p>I knew I could win the 3 round<br>s, and I knew my faculty would support me. And I knew once I got in, I would have no problem representing my college with their help. All par for the course</p></blockquote><p></p><h3>Article By Hindol Chakraborty</h3><h4>Space Warrior at Asian Institute of Design</h4><br><br><br><br>",REACH NOW ADDED,160,38,0,OUTSIDE SHARE COUNTER NOW ADDED,16,42,0,0,,,,,,,,TO BE ADDED,,TO BE ADDED
,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,Koustubh Kulkarni,Space Warrior Fellowship,03-09-2021,15:15:23,vertical,My MoU Story 05: My HoD took the MoU too seriously,The adventure to the hills for getting my MoU signed!,"<h3>Article by Vanishree Kulkarni</h3><h4><i>Space Warrior at Cambridge Institute of Technology</i></h4><p><br></p><p>Post the announcement of us receiving the MoU, I was a bit anxious and nervous at the same time, to approach my faculty because after almost 2 years of online classes and never interacting with them other than zoom calls, I was scared to approach them.</p><p><img src=""https://under25app.s3.amazonaws.com/images/2021-09-03_150248.max-1440x900.jpg"" style=""width: 352.19px;"" data-filename=""""><br></p><p><br>The next day I went to college to meet my HoD, there I found my third Semester class teacher, the most chill and kind-hearted teacher you'd ever meet. After explaining to her everything about the fellowship, she proposed to be the faculty coordinator and showed utter support towards the initiative. Then I pitched for the MoU to my HoD.</p><p><img src=""https://under25app.s3.amazonaws.com/images/2021-09-03_150637.max-1440x900.jpg"" style=""width: 352.19px;"" data-filename=""""><br></p><p><br>With God's grace, it went so well that it ended up with my Principal and College CEO applauding me for taking this incredible initiative up. All of them were really proud of me. I thought this was it, it's finally happening but then the Principal asked for <b><i>3 days to review the MoU.</i></b></p><p></p><blockquote>After anxiously waiting for 3 days, he told me there are no issues and he'll sign it but he had a few TERMS and CONDITIONS attached to that - yes!</blockquote><p></p><p>He wanted me to carry out few more activities since I was a ""Space Warrior"". </p><p></p><blockquote><b>While reading through the annexures he found a topic called 'Social Responsibility"" and that I should reflect the same by going with my teachers to a rural place to talk about women empowerment and the importance of education.</b></blockquote><img src=""https://under25app.s3.amazonaws.com/images/2021-09-03_150812.max-1440x900.jpg"" style=""width: 352.19px;"" data-filename=""""><br><p></p><p><br>So, on 25th August (Wednesday) morning, I went with my teachers to a place called Konganhalli which is almost 90 km from my college. Once we reached that place, the school which we were supposed to go to was a very tiny place between the hills.</p><p><img src=""https://under25app.s3.amazonaws.com/images/2021-09-03_150843.max-1440x900.jpg"" style=""width: 100%;"" data-filename=""""><br><br></p><h4>I got the chance to meet a lot of 6th-7th standard girls who were very excited to meet us. Speaking to them about how education is crucial and how it is even more important for girls.</h4><p></p><p>I had to give a speech in Kannada which was sort of a challenge because I don't speak Kannada that well and of course stage fright, but I somehow managed it. Later we disturbed chocolates and donated few books.</p><p><img src=""https://under25app.s3.amazonaws.com/images/2021-09-03_151301.max-1440x900.jpg"" style=""width: 352.19px;"" data-filename=""""><br><br>I loved the entire experience because I got the chance to bond with my teachers as well as learn from them on how activities are planned and carried out. <i><b>It was such a happy feeling to see that my teachers were ver</b></i><i><b>y supportive of whatever I was doing.</b></i></p><p><i><b><br></b></i></p><p></p><blockquote> I always felt that our college does not support these extracurricular activities. But apart from that I do feel our college is really good academic-wise and now it's going to be even better in extracurricular activities!</blockquote><p></p><p><img src=""https://under25app.s3.amazonaws.com/images/2021-09-03_151428.max-1440x900.jpg"" style=""width: 352.19px;"" data-filename=""""><br></p><p>So finally on Thursday (26th August 2021), he signed the MoU, almost after 1 week.&nbsp;<i>It felt great to get the approval from the college and get Under 25 kick-started!</i></p><p><i><br></i></p><h3><br><br></h3><p><br><br><br></p><p><br></p><p><br><br><br><br></p><p><br><br></p><p><br></p><br><br><br><br>",REACH NOW ADDED,150,37,0,OUTSIDE SHARE COUNTER NOW ADDED,18,29,0,0,,,,,,,,TO BE ADDED,,TO BE ADDED
,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,Koustubh Kulkarni,Space Warrior Fellowship,06-09-2021,15:44:34,vertical,My MoU Story 06: Approval Without Signature?,"With Love, To the Supportive Management and Teachers!","<h3>Article By Akhila B Mukundan</h3><h4>Space Warrior at Christ Nagar College, Maranalloor</h4><blockquote><p>Describing my journey to getting the MoU signed, I was sure I could do it. Naah, not my overconfidence, but something in me said, ""You can do it Akhila!""<br></p></blockquote><p><img src=""https://under25app.s3.amazonaws.com/images/2021-09-06_153747.max-1440x900.jpg"" style=""width: 352.19px;"" data-filename=""""><br><br>Me, being the First-Ever Space Warrior from my college, fortunately, the management did appreciate it. </p><p>This was the main reason for my confidence. On top of that, my teachers and I were on good terms <i>(that was the hope, at least)</i> As and when I approached more people, explained to them what I am doing, the response was positive.</p><p><img src=""https://under25app.s3.amazonaws.com/images/2021-09-06_153933.max-1440x900.jpg"" style=""width: 352.19px;"" data-filename=""""><br><br>After a really long time, I was back in college again for my semester exams, when I had the conversation with our Manager, Rev. Fr. Titto Varghese CMI. He gave me an instant reply. </p><blockquote>""Let's start a page. Just bring any documents they give for signing"", were his words. </blockquote><p>Imagine having the approval even before having MoU in your had.<br></p><p>Almost a month after that, I finally received the MoU for signing. BUT!! The college was closed for Onam vacation. </p><p><img src=""https://under25app.s3.amazonaws.com/images/2021-09-06_154354.max-1440x900.jpg"" data-filename="""" style=""width: 352.19px;""></p><p><i><b>There was no way I could get it signed before the 31st of August. Again, I reached out to my sir for being the Faculty advisor.</b></i></p><p>Truth to be told, he was the person who edited all the ""Insert"" areas of the MoU and printed the document. And then comes 31st August, Signing Day!!!</p><p></p><blockquote>The MoU was printed with all details except our Principal's signature, that too sir got it done for me and finally IT WAS DONE!</blockquote><p><img src=""https://under25app.s3.amazonaws.com/images/2021-09-06_154058.max-1440x900.jpg"" data-filename="""" style=""width: 176.095px;""><img src=""https://under25app.s3.amazonaws.com/images/2021-09-06_154124.max-1440x900.jpg"" data-filename="""" style=""width: 176.095px;""><br><br>I'm very glad to have had the sincere support and guidance of each and every person mentioned in this really long description of the ""Journey of Getting the MoU Signed"" especially Rajesh sir, who was with me throughout the process.</p><p></p><p><img src=""https://under25app.s3.amazonaws.com/images/2021-09-06_154200.max-1440x900.jpg"" data-filename="""" style=""width: 352.19px;""><br><br>My happiness after the moment can't be described because when the signing was getting extended,&nbsp;<i>I was really anxious even though there wasn't even a single negative comment or response, and finally having the signed MoU, the smile on my face is the most sincere and the sweetest one you are ever gonna see</i>&nbsp;❤️<br><br></p><p></p><p></p><p><br></p><br><br><br><br>",REACH NOW ADDED,128,37,0,OUTSIDE SHARE COUNTER NOW ADDED,15,13,1,0,,,,,,,,TO BE ADDED,,TO BE ADDED
,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,Koustubh Kulkarni,Space Warrior Fellowship,06-09-2021,16:16:41,vertical,When do you all usually check the Under 25 App?,Upvote your most preferred time!,"<p>To streamline our announcement timings, we want to know what works best for you all!&nbsp;<br></p><p><b>Drop-in your preferred timings!</b></p><br><br><br><br>",REACH NOW ADDED,149,36,0,OUTSIDE SHARE COUNTER NOW ADDED,21,41,0,0,,,,,,,,TO BE ADDED,,TO BE ADDED
,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,Koustubh Kulkarni,Space Warrior Fellowship,06-09-2021,16:45:30,image,ZOACSXPOWSJHPBD,,<h3>_____ was not funny? </h3><p><br></p><p>Fill in the blanks with your take on what<i> was not funny?</i><br></p><br><br><br><br>,REACH NOW ADDED,356,68,0,OUTSIDE SHARE COUNTER NOW ADDED,58,242,0,1,,,,,,,,TO BE ADDED,,TO BE ADDED
,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,Koustubh Kulkarni,Space Warrior Fellowship,06-09-2021,21:47:18,vertical,Space Chat Take Over: Week 02,Last week we had a ball of a time! What's in store for this week?,"<p>We had some amazing conversations last week &amp; space warriors who took the initiative really stepped up the game!🎈</p><blockquote>SWF A - Talk of the town Tuesdays!</blockquote><p>&nbsp;<img src=""https://under25app.s3.amazonaws.com/images/2021-09-06_200442.max-1440x900.jpg"" style=""width: 50%;"" data-filename=""""></p><blockquote>SWF D - Woke Wednesdays</blockquote><p><img src=""https://under25app.s3.amazonaws.com/images/2021-09-06_200517.max-1440x900.jpg"" style=""width: 50%;"" data-filename=""""></p><blockquote>SWF C - Take a break Thursdays</blockquote><p><img src=""https://under25app.s3.amazonaws.com/images/2021-09-06_200553.max-1440x900.jpg"" style=""width: 50%;"" data-filename=""""><br></p><p><blockquote>SWF B - Fandom Friday's&nbsp;</blockquote><img src=""https://under25app.s3.amazonaws.com/images/2021-09-06_200606.max-1440x900.jpg"" style=""width: 50%;"" data-filename=""""><br><br><h3>This week's take over order is as follows:</h3></p><p>- Talk of the town Tuesdays - SWF B 🏀</p><p>- Woke Wednesdays - SWF A 🔰</p><p>- Take a break Thursdays - SWF D 🍎</p><p>- Fandom Friday - SWF C 🗨</p><p><b><i>Let us know in the comments how was your take over experience &amp; did you make any new friends?<br></i></b><br><br><br></p><br><br><br><br>",REACH NOW ADDED,217,47,0,OUTSIDE SHARE COUNTER NOW ADDED,10,38,0,0,,,,,,,,TO BE ADDED,,TO BE ADDED
,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,Koustubh Kulkarni,Space Warrior Fellowship,07-09-2021,13:01:23,image,UMVJIUMEVRNCRWP,,"<p><b>Which pop culture character</b>&nbsp;<b>would you want to have as your faculty advisor?</b></p><p><b>If there is anybody else in your mind drop those in the comments!</b><b><br></b></p><p></p><p><img src=""https://under25app.s3.amazonaws.com/images/2021-09-07_121106.max-1440x900.jpg"" data-filename="""" style=""width: 352.19px;""></p><p></p><blockquote>Elizabeth Russell - Lagaan</blockquote><p><img src=""https://under25app.s3.amazonaws.com/images/2021-09-07_121219.max-1440x900.jpg"" data-filename="""" style=""width: 352.19px;""><br></p><blockquote>Guru Dev Singh - Bhag Milkha Bhag</blockquote><p></p><p><img src=""https://under25app.s3.amazonaws.com/images/2021-09-07_121353.max-1440x900.jpg"" data-filename="""" style=""width: 352.19px;""><br></p><p></p><blockquote>Laila - Zindagi Na Milegi Dobara</blockquote><p><img src=""https://under25app.s3.amazonaws.com/images/2021-09-07_121548.max-1440x900.jpg"" data-filename="""" style=""width: 352.19px;""><br></p><p></p><blockquote>MC Sher - Gully Boy</blockquote><p><img src=""https://under25app.s3.amazonaws.com/images/2021-09-07_121931.max-1440x900.jpg"" data-filename="""" style=""width: 352.19px;""><br></p><blockquote>The Professor - Money Heist&nbsp;</blockquote><p><br></p><p><br></p><p></p><p><br></p><p><br><br><br></p><p></p><p></p><p></p><p><br></p><p></p><p></p><p></p><p><br><br><br></p><br><br><br><br>",REACH NOW ADDED,139,40,0,OUTSIDE SHARE COUNTER NOW ADDED,14,41,0,0,,,,,,,,TO BE ADDED,,TO BE ADDED
,,,,,,,,,,,,,,,,,,,,,,,,,,,
